threshold,cloningTime,versionedTime,persistentTime,coloredTime
171.27481,181,189,164,70
171.6048,181,189,164,70
171.93479,181,189,164,70
172.26478,181,189,164,70
172.59477,181,189,164,70
172.92476,181,189,164,70
173.25475,181,189,164,70
173.58473999999998,181,189,164,70
173.91473,181,189,164,70
174.24472,181,189,164,70
174.57470999999998,181,189,164,70
174.9047,181,189,164,70
175.23469,181,189,164,70
175.56467999999998,182,189,164,70
175.89467,182,189,164,70
176.22466,182,189,164,70
176.55464999999998,183,189,164,70
176.88464000000002,183,189,164,70
177.21463,183,189,164,70
177.54461999999998,183,189,164,70
177.87461000000002,183,189,164,70
178.2046,183,189,164,70
178.53458999999998,183,189,164,70
178.86458000000002,183,189,164,70
179.19457,183,189,164,70
179.52455999999998,183,189,164,70
179.85455000000002,183,189,164,70
180.18454,183,189,164,70
180.51452999999998,183,189,164,70
180.84452000000002,183,189,164,70
181.17451,183,189,164,70
181.50449999999998,183,189,164,70
181.83449,183,189,164,70
182.16448,183,189,164,70
182.49446999999998,184,189,164,70
182.82446,184,189,164,70
183.15445,184,189,164,70
183.48444,184,189,164,70
183.81443,184,189,164,70
184.14442,184,189,164,70
184.47441,184,189,164,70
184.8044,184,189,164,70
185.13439,184,189,164,70
185.46438,184,189,164,70
185.79437,184,189,164,70
186.12436,184,189,164,70
186.45435,184,189,164,70
186.78434,184,189,164,70
187.11433,184,189,164,70
187.44432,184,189,164,70
187.77430999999999,184,189,164,70
188.1043,184,189,164,70
188.43429,184,189,164,70
188.76427999999999,184,189,164,70
189.09427000000002,184,189,164,70
189.42426,184,189,164,70
189.75424999999998,184,189,164,70
190.08424,184,189,164,70
190.41423,184,189,164,70
190.74421999999998,184,189,164,70
191.07421,184,189,164,70
191.4042,184,189,164,70
191.73418999999998,184,189,164,70
192.06418,184,189,164,70
192.39417,184,189,164,70
192.72415999999998,184,189,164,70
193.05415,184,189,164,70
193.38414,184,189,164,70
193.71412999999998,184,189,164,70
194.04412,184,189,164,70
194.37411,184,189,164,70
194.70409999999998,184,189,164,70
195.03409,184,189,164,70
195.36408,184,189,164,70
195.69407,184,189,164,70
196.02406,184,189,164,70
196.35405,184,189,164,70
196.68404,184,189,164,70
197.01403,184,189,164,70
197.34402,184,189,164,70
197.67401,184,189,164,70
198.004,184,189,164,70
198.33399,184,189,164,70
198.66398,185,189,164,70
198.99397,185,189,164,70
199.32395999999997,185,189,164,70
199.65395,185,189,164,70
199.98394,185,189,164,70
200.31392999999997,185,189,164,70
200.64392,185,189,164,70
200.97391,185,189,164,70
201.3039,185,189,164,70
201.63389,185,189,164,70
201.96388,185,189,164,70
202.29387,185,189,164,70
202.62386,185,189,164,70
202.95385,185,189,164,70
203.28384,185,189,164,70
203.61383,185,189,164,70
203.94382,185,189,164,70
204.27381,185,189,164,70
204.6038,185,189,164,70
204.93379,185,189,164,70
205.26378,185,189,164,70
205.59377,185,189,164,70
205.92376,185,189,164,70
206.25375,185,189,164,70
206.58374,185,189,164,70
206.91373000000002,185,189,164,70
207.24372,185,189,164,70
207.57370999999998,185,189,164,70
207.90370000000001,185,189,164,70
208.23369,185,189,164,70
208.56367999999998,185,189,164,70
208.89367000000001,185,189,164,70
209.22366,185,189,164,70
209.55364999999998,185,189,164,70
209.88364,185,189,164,70
210.21363,185,189,164,70
210.54361999999998,185,189,164,70
210.87361,185,189,164,70
211.2036,185,189,164,70
211.53358999999998,185,189,164,70
211.86358,185,189,164,70
212.19357,185,189,164,70
212.52355999999997,185,189,164,70
212.85355,185,189,164,70
213.18354,185,189,164,70
213.51353,185,189,164,70
213.84352,185,189,164,70
214.17351,185,189,164,70
214.5035,185,189,164,70
214.83349,185,189,164,70
215.16348,185,189,164,70
215.49347,185,189,164,70
215.82345999999998,185,189,164,70
216.15345,185,189,164,70
216.48344,185,189,164,70
216.81342999999998,185,189,164,70
217.14342,185,189,164,70
217.47341,185,189,164,70
217.80339999999998,185,189,164,70
218.13339,185,189,164,70
218.46338,185,189,164,70
218.79336999999998,185,189,164,70
219.12336000000002,185,189,164,70
219.45335,185,189,164,70
219.78333999999998,185,189,164,70
220.11333000000002,185,189,164,70
220.44332,185,189,164,70
220.77330999999998,185,189,164,70
221.10330000000002,185,189,164,70
221.43329,185,189,164,70
221.76327999999998,185,189,164,70
222.09327000000002,185,189,164,70
222.42326,185,189,164,70
222.75324999999998,185,189,164,70
223.08324000000002,185,189,164,70
223.41323,185,189,164,70
223.74321999999998,185,189,164,70
224.07321,185,189,164,70
224.4032,185,189,164,70
224.73318999999998,185,189,164,70
225.06318,185,189,164,70
225.39317,185,189,164,70
