threshold,cloningMemory,versionedMemory,persistentMemory,coloredMemory
9.898390000000001,185,189,164,70
9.933580000000001,185,189,164,70
9.968770000000003,185,189,164,70
10.003960000000001,185,189,164,70
10.039150000000001,185,189,164,70
10.074340000000001,185,189,164,70
10.109530000000001,185,189,164,70
10.144720000000001,185,189,164,70
10.179910000000001,185,189,164,70
10.215100000000001,185,189,164,70
10.250290000000001,185,189,164,70
10.285480000000002,185,189,164,70
10.320670000000002,185,189,164,70
10.35586,185,189,164,70
10.391050000000002,185,189,164,70
10.426240000000002,185,189,164,70
10.461430000000002,185,189,164,70
10.49662,185,189,164,70
10.531810000000002,185,189,164,70
10.567000000000002,185,189,164,70
10.602190000000002,185,189,164,70
10.63738,185,189,164,70
10.672570000000002,185,189,164,70
10.707760000000002,185,189,164,70
10.74295,185,189,164,70
10.77814,185,189,164,70
10.813330000000002,185,189,164,70
10.848520000000002,185,189,164,70
10.88371,185,189,164,70
10.9189,185,189,164,70
10.954090000000003,185,189,164,70
10.98928,185,189,164,70
11.02447,185,189,164,70
11.059660000000001,185,189,164,70
11.094850000000003,185,189,164,70
11.130040000000001,185,189,164,70
11.165230000000001,185,189,164,70
11.200420000000001,185,189,164,70
11.235610000000003,185,189,164,70
11.270800000000001,185,189,164,70
11.305990000000001,185,189,164,70
11.341180000000001,185,189,164,70
11.376370000000001,185,189,164,70
11.411560000000001,185,189,164,70
11.446750000000002,185,189,164,70
11.481940000000002,185,189,164,70
11.517130000000002,185,189,164,70
11.552320000000002,185,189,164,70
11.587510000000002,185,189,164,70
11.6227,185,189,164,70
11.657890000000002,185,189,164,70
11.693080000000002,185,189,164,70
11.728270000000002,185,189,164,70
11.76346,185,189,164,70
11.798650000000002,185,189,164,70
11.833840000000002,185,189,164,70
11.869030000000002,185,189,164,70
11.90422,185,189,164,70
11.939410000000002,185,189,164,70
11.974600000000002,185,189,164,70
12.00979,185,189,164,70
12.04498,185,189,164,70
12.080170000000003,185,189,164,70
12.115360000000003,185,189,164,70
12.15055,185,189,164,70
12.185740000000001,185,189,164,70
12.220930000000003,185,189,164,70
12.256120000000001,185,189,164,70
12.291310000000001,185,189,164,70
12.326500000000001,185,189,164,70
12.361690000000003,185,189,164,70
12.396880000000001,185,189,164,70
12.432070000000001,185,189,164,70
12.467260000000001,185,189,164,70
12.502450000000003,185,189,164,70
12.537640000000001,185,189,164,70
12.572830000000002,185,189,164,70
12.608020000000002,185,189,164,70
12.643210000000002,185,189,164,70
12.678400000000002,185,189,164,70
12.713590000000002,185,189,164,70
12.748780000000002,185,189,164,70
12.783970000000002,185,189,164,70
12.819160000000002,185,189,164,70
12.854350000000002,185,189,164,70
12.88954,185,189,164,70
12.924730000000002,185,189,164,70
12.959920000000002,185,189,164,70
12.995110000000002,185,189,164,70
13.0303,185,189,164,70
13.065490000000002,185,189,164,70
13.100680000000002,185,189,164,70
13.135870000000002,185,189,164,70
13.17106,185,189,164,70
13.206250000000002,185,189,164,70
13.241440000000003,185,189,164,70
13.27663,185,189,164,70
13.31182,185,189,164,70
13.347010000000003,185,189,164,70
13.382200000000003,185,189,164,70
13.417390000000001,185,189,164,70
13.452580000000001,185,189,164,70
13.487770000000003,185,189,164,70
13.522960000000003,185,189,164,70
13.558150000000001,185,189,164,70
13.593340000000001,185,189,164,70
13.628530000000003,185,189,164,70
